Data	Wytop
01.01.2017	
02.01.2017	
03.01.2017	
04.01.2017	
05.01.2017	
06.01.2017	
07.01.2017	1000
08.01.2017	1000
09.01.2017	5750
10.01.2017	6000
11.01.2017	7050
12.01.2017	7200
13.01.2017	6750
14.01.2017	309
15.01.2017	1000
16.01.2017	6900
17.01.2017	7150
18.01.2017	6900
19.01.2017	5600
20.01.2017	5400
21.01.2017	1000
22.01.2017	1000
23.01.2017	5500
24.01.2017	5900
25.01.2017	5650
26.01.2017	5250
27.01.2017	5550
28.01.2017	1000
29.01.2017	1000
30.01.2017	5000
31.01.2017	5450
01.02.2017	5550
02.02.2017	5450
03.02.2017	5250
04.02.2017	403
05.02.2017	1000
06.02.2017	5700
07.02.2017	6500
08.02.2017	6900
09.02.2017	6000
10.02.2017	1170
11.02.2017	1000
12.02.2017	1000
13.02.2017	6400
14.02.2017	6150
15.02.2017	6300
16.02.2017	5700
17.02.2017	177
18.02.2017	1000
19.02.2017	1000
20.02.2017	5900
21.02.2017	6350
22.02.2017	6000
23.02.2017	6300
24.02.2017	4950
25.02.2017	1000
26.02.2017	1000
27.02.2017	5500
28.02.2017	6300
01.03.2017	5700
02.03.2017	5600
03.03.2017	5450
04.03.2017	1000
05.03.2017	1000
06.03.2017	6500
07.03.2017	5400
08.03.2017	6000
09.03.2017	5300
10.03.2017	5000
11.03.2017	1000
12.03.2017	1000
13.03.2017	6200
14.03.2017	6550
15.03.2017	6900
16.03.2017	6700
17.03.2017	6200
18.03.2017	302
19.03.2017	1000
20.03.2017	5650
21.03.2017	6050
22.03.2017	5700
23.03.2017	6200
24.03.2017	5400
25.03.2017	1000
26.03.2017	1000
27.03.2017	6100
28.03.2017	6300
29.03.2017	6500
30.03.2017	6000
31.03.2017	6350
01.04.2017	4100
02.04.2017	1000
03.04.2017	6000
04.04.2017	5600
05.04.2017	5650
06.04.2017	5350
07.04.2017	6050
08.04.2017	2303
09.04.2017	2696
10.04.2017	5800
11.04.2017	6550
12.04.2017	6950
13.04.2017	6400
14.04.2017	4100
15.04.2017	1000
16.04.2017	1000
17.04.2017	1000
18.04.2017	4200
19.04.2017	6250
20.04.2017	6400
21.04.2017	6150
22.04.2017	3700
23.04.2017	1000
24.04.2017	6300
25.04.2017	5500
26.04.2017	6300
27.04.2017	6600
28.04.2017	5550
29.04.2017	3800
30.04.2017	1000
01.05.2017	
02.05.2017	
03.05.2017	
04.05.2017	1000
05.05.2017	1000
06.05.2017	1000
07.05.2017	1000
08.05.2017	6850
09.05.2017	6300
10.05.2017	6600
11.05.2017	6350
12.05.2017	7000
13.05.2017	2141
14.05.2017	1000
15.05.2017	6300
16.05.2017	6750
17.05.2017	6900
18.05.2017	7000
19.05.2017	6700
20.05.2017	2511
21.05.2017	1000
22.05.2017	6900
23.05.2017	7050
24.05.2017	7400
25.05.2017	7400
26.05.2017	6000
27.05.2017	1572
28.05.2017	1000
29.05.2017	6050
30.05.2017	6550
31.05.2017	7150
01.06.2017	7150
02.06.2017	7050
03.06.2017	2764
04.06.2017	1000
05.06.2017	7400
06.06.2017	7150
07.06.2017	7300
08.06.2017	7200
09.06.2017	7050
10.06.2017	2639
11.06.2017	2680
12.06.2017	6750
13.06.2017	6500
14.06.2017	4800
15.06.2017	1000
16.06.2017	1000
17.06.2017	1000
18.06.2017	1000
19.06.2017	6550
20.06.2017	6700
21.06.2017	7400
22.06.2017	6900
23.06.2017	5050
24.06.2017	1351
25.06.2017	1000
26.06.2017	6600
27.06.2017	6750
28.06.2017	7300
29.06.2017	7450
30.06.2017	4800
01.07.2017	1000
02.07.2017	1000
03.07.2017	6750
04.07.2017	7150
05.07.2017	7450
06.07.2017	7200
07.07.2017	6200
08.07.2017	1752
09.07.2017	1000
10.07.2017	6400
11.07.2017	6800
12.07.2017	6400
13.07.2017	6700
14.07.2017	6000
15.07.2017	1000
16.07.2017	1000
17.07.2017	5900
18.07.2017	6450
19.07.2017	5750
20.07.2017	5400
21.07.2017	5550
22.07.2017	1000
23.07.2017	1865
24.07.2017	6400
25.07.2017	6900
26.07.2017	6450
27.07.2017	3000
28.07.2017	
29.07.2017	
30.07.2017	
31.07.2017	
01.08.2017	
02.08.2017	
03.08.2017	
04.08.2017	
05.08.2017	
06.08.2017	
07.08.2017	
08.08.2017	
09.08.2017	
10.08.2017	
11.08.2017	
12.08.2017	
13.08.2017	
14.08.2017	
15.08.2017	
16.08.2017	
17.08.2017	1000
18.08.2017	1000
19.08.2017	1000
20.08.2017	1000
21.08.2017	6050
22.08.2017	6400
23.08.2017	6900
